# x_m,y_m,w_tr_right_m,w_tr_left_m
34.65,6.75,5,5
34.55,6.8500000000000005,5,5
34.449999999999996,6.8500000000000005,5,5
34.35,6.8500000000000005,5,5
34.25,6.8500000000000005,5,5
34.15,6.8500000000000005,5,5
34.05,6.8500000000000005,5,5
33.949999999999996,6.8500000000000005,5,5
33.85,6.8500000000000005,5,5
33.75,6.8500000000000005,5,5
33.65,6.8500000000000005,5,5
33.55,6.95,5,5
33.449999999999996,6.95,5,5
33.35,6.95,5,5
33.25,6.95,5,5
33.15,6.95,5,5
33.05,6.95,5,5
32.949999999999996,6.95,5,5
32.85,6.95,5,5
32.75,6.95,5,5
32.65,6.95,5,5
32.55,6.95,5,5
32.449999999999996,6.95,5,5
32.35,6.95,5,5
32.25,6.95,5,5
32.15,7.05,5,5
32.05,7.05,5,5
31.950000000000003,7.05,5,5
31.85,7.05,5,5
31.750000000000004,7.05,5,5
31.650000000000002,7.15,5,5
31.55,7.15,5,5
31.450000000000003,7.15,5,5
31.35,7.15,5,5
31.250000000000004,7.15,5,5
31.150000000000002,7.15,5,5
31.05,7.15,5,5
30.950000000000003,7.15,5,5
30.85,7.15,5,5
30.750000000000004,7.15,5,5
30.650000000000002,7.25,5,5
30.55,7.25,5,5
30.450000000000003,7.25,5,5
30.35,7.3500000000000005,5,5
30.250000000000004,7.3500000000000005,5,5
30.150000000000002,7.3500000000000005,5,5
30.05,7.45,5,5
29.950000000000003,7.45,5,5
29.85,7.45,5,5
29.750000000000004,7.45,5,5
29.650000000000002,7.45,5,5
29.55,7.55,5,5
29.450000000000003,7.55,5,5
29.35,7.55,5,5
29.250000000000004,7.55,5,5
29.150000000000002,7.55,5,5
29.05,7.65,5,5
28.950000000000003,7.65,5,5
28.85,7.65,5,5
28.750000000000004,7.65,5,5
28.650000000000002,7.75,5,5
28.55,7.75,5,5
28.450000000000003,7.75,5,5
28.35,7.8500000000000005,5,5
28.250000000000004,7.8500000000000005,5,5
28.150000000000002,7.8500000000000005,5,5
28.05,7.95,5,5
27.950000000000003,7.95,5,5
27.85,7.95,5,5
27.750000000000004,7.95,5,5
27.650000000000002,8.05,5,5
27.55,8.05,5,5
27.450000000000003,8.05,5,5
27.35,8.05,5,5
27.250000000000004,8.15,5,5
27.150000000000002,8.15,5,5
27.05,8.15,5,5
26.950000000000003,8.250000000000002,5,5
26.85,8.250000000000002,5,5
26.750000000000004,8.250000000000002,5,5
26.650000000000002,8.250000000000002,5,5
26.55,8.350000000000001,5,5
26.450000000000003,8.350000000000001,5,5
26.35,8.350000000000001,5,5
26.250000000000004,8.450000000000001,5,5
26.150000000000002,8.450000000000001,5,5
26.05,8.55,5,5
25.950000000000003,8.55,5,5
25.85,8.55,5,5
25.750000000000004,8.65,5,5
25.650000000000002,8.65,5,5
25.55,8.65,5,5
25.450000000000003,8.750000000000002,5,5
25.35,8.850000000000001,5,5
25.250000000000004,8.850000000000001,5,5
25.150000000000002,8.850000000000001,5,5
25.05,8.950000000000001,5,5
24.950000000000003,8.950000000000001,5,5
24.85,8.950000000000001,5,5
24.750000000000004,9.05,5,5
24.650000000000002,9.15,5,5
24.55,9.15,5,5
24.450000000000003,9.250000000000002,5,5
24.35,9.250000000000002,5,5
24.250000000000004,9.250000000000002,5,5
24.150000000000002,9.350000000000001,5,5
24.05,9.450000000000001,5,5
23.950000000000003,9.55,5,5
23.85,9.650000000000002,5,5
23.750000000000004,9.650000000000002,5,5
23.650000000000002,9.750000000000002,5,5
23.55,9.850000000000001,5,5
23.450000000000003,9.850000000000001,5,5
23.35,9.950000000000001,5,5
23.250000000000004,9.950000000000001,5,5
23.150000000000002,10.05,5,5
23.05,10.150000000000002,5,5
22.950000000000003,10.150000000000002,5,5
22.85,10.250000000000002,5,5
22.750000000000004,10.350000000000001,5,5
22.650000000000002,10.450000000000001,5,5
22.55,10.55,5,5
22.450000000000003,10.650000000000002,5,5
22.35,10.750000000000002,5,5
22.250000000000004,10.850000000000001,5,5
22.150000000000002,10.950000000000001,5,5
22.05,11.05,5,5
21.950000000000003,11.150000000000002,5,5
21.85,11.250000000000002,5,5
21.750000000000004,11.350000000000001,5,5
21.650000000000002,11.450000000000001,5,5
21.55,11.55,5,5
21.450000000000003,11.650000000000002,5,5
21.35,11.750000000000002,5,5
21.250000000000004,11.850000000000001,5,5
21.150000000000002,11.950000000000001,5,5
21.05,12.05,5,5
20.950000000000003,12.150000000000002,5,5
20.85,12.250000000000002,5,5
20.750000000000004,12.350000000000001,5,5
20.650000000000002,12.450000000000001,5,5
20.55,12.55,5,5
20.55,12.650000000000002,5,5
20.450000000000003,12.750000000000002,5,5
20.35,12.850000000000001,5,5
20.250000000000004,12.950000000000001,5,5
